importance,stddev,p_value,n,p99_high,p99_low
124.89588738846734,1.8943724392785226,6.349170006505008e-09,5,128.79642642395143,120.99534835298326
72.39883594535247,2.2188404659955108,1.0573421062689065e-07,5,76.96745913247155,67.8302127582334
50.29487975032114,1.6644419597317337,1.4372319318191156e-07,5,53.721988750441426,46.86777075020085
27.594147085805826,0.8087358943507209,8.843883025288543e-08,5,29.259345470191906,25.928948701419746
27.416267168483195,0.5637864590580295,2.144675964513501e-08,5,28.577111280040643,26.255423056925746
26.02426006380126,1.0258643984749183,2.891533668852866e-07,5,28.136529039213915,23.911991088388607
22.730718299090025,0.9724793041565256,4.0104299826101365e-07,5,24.733066627440692,20.728369970739358
16.711028639341386,0.9236794881878815,1.1155438610616669e-06,5,18.61289747212748,14.809159806555293
16.628652724343382,0.7032989241236766,3.830695953650124e-07,5,18.076754929738183,15.180550518948582
16.488112891305878,0.900252041210643,1.0622569785061725e-06,5,18.341744286964108,14.634481495647647
14.09175242176038,0.4224770547989659,9.683078236068074e-08,5,14.96163851684489,13.221866326675869
12.601198030006156,0.47611017780441456,2.440830252658904e-07,5,13.581515466647422,11.62088059336489
12.078705176469327,0.600795693472051,7.32108901073336e-07,5,13.315751813207225,10.84165853973143
9.31300660534406,0.9254801056905606,1.1550294314060923e-05,5,11.218582934455348,7.407430276232772
8.398693861724615,0.17473702573456942,2.2471051154097028e-08,5,8.758479812834446,8.038907910614784
7.276402269441688,0.5397159424157055,3.6057558581426865e-06,5,8.387684854542695,6.165119684340681
7.203614181682414,0.18029309382150674,4.7047136257972104e-08,5,7.574840153776271,6.832388209588557
6.537524141577904,0.42121569679013854,2.056582749537482e-06,5,7.404813083088419,5.67023520006739
5.990242602442902,0.1691121837084708,7.614507486538424e-08,5,6.338446926077418,5.6420382788083865
5.470369847627359,0.36563734116802604,2.3808613779372973e-06,5,6.223222186737435,4.717517508517283
5.4671624574114,0.10302381380356265,1.5124402423334288e-08,5,5.679289913973366,5.255035000849435
5.309769600075539,0.18584152842995488,1.7977967953893388e-07,5,5.692419875715706,4.927119324435371
5.2956989482625625,0.12744981553905518,4.022625653704588e-08,5,5.558119880001128,5.0332780165239965
4.893450863573589,0.1255065280227481,5.1880573053859244e-08,5,5.151870539456991,4.6350311876901875
4.46056795464671,0.1331608723249618,9.519436763116657e-08,5,4.734748031242652,4.186387878050769
4.390674194219394,0.3407196649248671,4.316842440879224e-06,5,5.09222069354592,3.6891276948928677
4.36803968410458,0.27183929055825534,1.7907891885106336e-06,5,4.927760540582306,3.8083188276268536
4.244649883104908,0.19678838385613365,5.527999411177506e-07,5,4.649839885369199,3.8394598808406175
4.091657108210363,0.13789721961428633,1.5457844465162736e-07,5,4.3755893893383,3.807724827082426
3.8102719909241465,0.1748964736553339,5.312054133172637e-07,5,4.170386247506636,3.4501577343416567
3.6237450963401536,0.3509788265191942,1.0429456315172507e-05,5,4.3464153511860815,2.901074841494226
3.481514682085085,0.3074158703048873,7.219582621940961e-06,5,4.114488207981714,2.848541156188456
3.117974796495967,0.12955240503225904,3.5684016094564845e-07,5,3.3847249890619153,2.851224603930019
3.098008529101366,0.1436398767828279,5.529770486385869e-07,5,3.393765020711287,2.802252037491445
2.4286037476225504,0.08077735366151972,1.466468558162353e-07,5,2.5949254352732947,2.262282059971806
1.7419218482181855,0.15600188652503563,7.637581299985339e-06,5,2.0631318887484444,1.4207118076879266
