model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-26.63937983822469,root_mean_squared_error,0.333787202835083,23.64557957649231,0.00018286705017089844,0.005555629730224609,2,False,10
WeightedEnsemble_L3,-26.642536531427492,root_mean_squared_error,0.6090209484100342,26.410125494003296,0.00015735626220703125,0.008076667785644531,3,False,20
CatBoost_BAG_L1,-27.15611553133741,root_mean_squared_error,0.009041309356689453,2.0619194507598877,0.009041309356689453,2.0619194507598877,1,False,4
CatBoost_BAG_L2,-27.464735941566836,root_mean_squared_error,0.6088635921478271,26.40204882621765,0.011966705322265625,0.8673274517059326,2,False,14
LightGBM_BAG_L1,-27.797132661093865,root_mean_squared_error,0.19116973876953125,1.6905925273895264,0.19116973876953125,1.6905925273895264,1,False,2
LightGBMXT_BAG_L1,-27.797132661093865,root_mean_squared_error,0.1915900707244873,1.5297536849975586,0.1915900707244873,1.5297536849975586,1,False,1
XGBoost_BAG_L1,-28.08080982094294,root_mean_squared_error,0.01665782928466797,0.30681705474853516,0.01665782928466797,0.30681705474853516,1,False,7
ExtraTreesMSE_BAG_L2,-28.158088133045215,root_mean_squared_error,0.6868281364440918,25.809855699539185,0.08993124961853027,0.2751343250274658,2,False,15
RandomForestMSE_BAG_L2,-28.187652380930714,root_mean_squared_error,0.6845889091491699,26.04941964149475,0.0876920223236084,0.5146982669830322,2,False,13
XGBoost_BAG_L2,-28.299988420973833,root_mean_squared_error,0.6101014614105225,25.978663206100464,0.013204574584960938,0.4439418315887451,2,False,17
NeuralNetTorch_BAG_L1,-28.55012526656449,root_mean_squared_error,0.010707616806030273,17.458634853363037,0.010707616806030273,17.458634853363037,1,False,8
NeuralNetTorch_BAG_L2,-28.720212971601402,root_mean_squared_error,0.618361234664917,28.893835067749023,0.02146434783935547,3.3591136932373047,2,False,18
LightGBM_BAG_L2,-28.840000832849295,root_mean_squared_error,0.6052393913269043,26.035248279571533,0.008342504501342773,0.5005269050598145,2,False,12
LightGBMLarge_BAG_L1,-28.90285036493917,root_mean_squared_error,0.027834177017211914,0.7285995483398438,0.027834177017211914,0.7285995483398438,1,False,9
LightGBMXT_BAG_L2,-28.948868928914884,root_mean_squared_error,0.6085329055786133,26.008477449417114,0.011636018753051758,0.4737560749053955,2,False,11
NeuralNetFastAI_BAG_L1,-28.975807170757836,root_mean_squared_error,0.03210616111755371,2.0423524379730225,0.03210616111755371,2.0423524379730225,1,False,6
LightGBMLarge_BAG_L2,-29.52007115200356,root_mean_squared_error,0.6093525886535645,26.30366063117981,0.01245570182800293,0.7689392566680908,2,False,19
NeuralNetFastAI_BAG_L2,-29.78030794671551,root_mean_squared_error,0.6319692134857178,27.755587100982666,0.03507232666015625,2.2208657264709473,2,False,16
RandomForestMSE_BAG_L1,-35.11394532749951,root_mean_squared_error,0.0735013484954834,0.24054646492004395,0.0735013484954834,0.24054646492004395,1,True,3
ExtraTreesMSE_BAG_L1,-35.12688892884266,root_mean_squared_error,0.07212281227111816,0.20410490036010742,0.07212281227111816,0.20410490036010742,1,True,5
ExtraTreesMSE_BAG_L1_FULL,,root_mean_squared_error,0.07212281227111816,0.20410490036010742,0.07212281227111816,0.20410490036010742,1,True,25
RandomForestMSE_BAG_L1_FULL,,root_mean_squared_error,0.0735013484954834,0.24054646492004395,0.0735013484954834,0.24054646492004395,1,True,23
XGBoost_BAG_L2_FULL,,root_mean_squared_error,,8.239021062850952,,0.020177125930786133,2,True,37
XGBoost_BAG_L1_FULL,,root_mean_squared_error,,0.04977083206176758,,0.04977083206176758,1,True,27
WeightedEnsemble_L3_FULL,,root_mean_squared_error,,8.306530237197876,,0.008076667785644531,3,True,40
WeightedEnsemble_L2_FULL,,root_mean_squared_error,,7.20039963722229,,0.005555629730224609,2,True,30
RandomForestMSE_BAG_L2_FULL,,root_mean_squared_error,,8.733542203903198,0.0876920223236084,0.5146982669830322,2,True,33
NeuralNetTorch_BAG_L2_FULL,,root_mean_squared_error,,8.639150381088257,,0.4203064441680908,2,True,38
NeuralNetTorch_BAG_L1_FULL,,root_mean_squared_error,,4.487420558929443,,4.487420558929443,1,True,28
NeuralNetFastAI_BAG_L2_FULL,,root_mean_squared_error,,8.667683839797974,,0.4488399028778076,2,True,36
NeuralNetFastAI_BAG_L1_FULL,,root_mean_squared_error,,0.6330113410949707,,0.6330113410949707,1,True,26
LightGBM_BAG_L2_FULL,,root_mean_squared_error,,8.317882061004639,,0.09903812408447266,2,True,32
LightGBM_BAG_L1_FULL,,root_mean_squared_error,,0.8198950290679932,,0.8198950290679932,1,True,22
LightGBMXT_BAG_L2_FULL,,root_mean_squared_error,,8.34622311592102,,0.1273791790008545,2,True,31
LightGBMXT_BAG_L1_FULL,,root_mean_squared_error,,1.1596665382385254,,1.1596665382385254,1,True,21
LightGBMLarge_BAG_L2_FULL,,root_mean_squared_error,,8.46698784828186,,0.24814391136169434,2,True,39
LightGBMLarge_BAG_L1_FULL,,root_mean_squared_error,,0.4466071128845215,,0.4466071128845215,1,True,29
ExtraTreesMSE_BAG_L2_FULL,,root_mean_squared_error,,8.493978261947632,0.08993124961853027,0.2751343250274658,2,True,35
CatBoost_BAG_L2_FULL,,root_mean_squared_error,,8.298453569412231,,0.07960963249206543,2,True,34
CatBoost_BAG_L1_FULL,,root_mean_squared_error,,0.6244282722473145,,0.6244282722473145,1,True,24
